source,date,title,url,primary_use_case,primary_use_case_confidence,ai_use_cases,sentiment,ai_mention_count,ai_mentions,title_ai_mention_count,title_ai_mentions,word_count,summary
ISPreview UK,2025-11-17,Broadband ISP TalkTalk Increases UK Mid-Contract Price Hikes to £4,https://www.ispreview.co.uk/index.php/2025/11/broadband-isp-talktalk-increases-uk-mid-contract-price-hikes-to-4.html,,0.0,,not_applicable,0,,0,,42,
ISPreview UK,2025-11-17,House of Lords Report Calls for UK Broadband Investment to Boost Home Working,https://www.ispreview.co.uk/index.php/2025/11/house-of-lords-report-calls-for-uk-broadband-investment-to-boost-home-working.html,,0.0,,not_applicable,0,,0,,44,
ISPreview UK,2025-11-17,Full Fibre’s Impact – Fibrus Report Makes Three Predictions for UK Rural Areas in 2025,https://www.ispreview.co.uk/index.php/2025/11/full-fibres-impact-fibrus-report-makes-three-predictions-for-uk-rural-areas-in-2025.html,,0.0,,not_applicable,0,,0,,52,
ISPreview UK,2025-11-17,Virgin Media UK Make Linear FAST TV Channel Content Available On-Demand,https://www.ispreview.co.uk/index.php/2025/11/virgin-media-uk-make-linear-fast-tv-channel-content-available-on-demand.html,,0.0,,not_applicable,0,,0,,55,
ISPreview UK,2025-11-17,Great Western Railway Pilots Hybrid Network to Boost Onboard Wi-Fi,https://www.ispreview.co.uk/index.php/2025/11/great-western-railway-pilots-hybrid-network-to-boost-onboard-wi-fi.html,,0.0,,not_applicable,0,,0,,58,
ISPreview UK,2025-11-17,Ofcom Consult on Impact of Openreach PIA on the UK Leased Line Market UPDATE,https://www.ispreview.co.uk/index.php/2025/11/ofcom-consult-on-impact-of-openreach-pia-on-the-uk-leased-line-market.html,,0.0,,not_applicable,0,,0,,58,
ISPreview UK,2025-11-17,Nokia Interview – 6G to Focus on Efficiency More than Mobile Broadband Speed,https://www.ispreview.co.uk/index.php/2025/11/nokia-interview-6g-to-focus-on-efficiency-more-than-mobile-broadband-speed.html,,0.0,,not_applicable,0,,0,,57,
ISPreview UK,2025-11-16,"O2 UK Hit Customer with £1,000 Bill After Losing their Mobile Number",https://www.ispreview.co.uk/index.php/2025/11/o2-uk-hit-customer-with-1000-bill-after-losing-their-mobile-number.html,,0.0,,not_applicable,0,,0,,65,
ISPreview UK,2025-11-15,CEO of Broadband ISP Zen Internet Calls for Ban of Mid-Contract Price Hikes,https://www.ispreview.co.uk/index.php/2025/11/ceo-of-broadband-isp-zen-internet-calls-for-ban-of-mid-contract-price-hikes.html,,0.0,,not_applicable,0,,0,,53,
ISPreview UK,2025-11-15,No Solution Yet for West Herefordshire and Peak District Gigabit Broadband Project,https://www.ispreview.co.uk/index.php/2025/11/no-solution-yet-for-west-herefordshire-and-peak-district-gigabit-broadband-project.html,,0.0,,not_applicable,0,,0,,58,
ISPreview UK,2025-11-14,Starlink Toys with Cheaper Residential 100Mbps Broadband Satellite Plan,https://www.ispreview.co.uk/index.php/2025/11/starlink-toys-with-cheaper-residential-100mbps-broadband-satellite-plan.html,,0.0,,not_applicable,0,,0,,58,
ISPreview UK,2025-11-14,Project Kuiper’s Global Satellite Broadband Network Rebrands to Amazon Leo,https://www.ispreview.co.uk/index.php/2025/11/project-kuipers-global-satellite-broadband-network-rebrands-to-amazon-leo.html,,0.0,,not_applicable,0,,0,,55,
ISPreview UK,2025-11-14,Streetwave Publish Map of South Yorkshire 4G and 5G Mobile Cover and Data Speed,https://www.ispreview.co.uk/index.php/2025/11/streetwave-publish-map-of-south-yorkshire-4g-and-5g-mobile-cover-and-data-speed.html,,0.0,,not_applicable,0,,0,,62,
ISPreview UK,2025-11-14,ISPA Reveal WINNERS of the 2025 UK ISP Internet Industry Awards,https://www.ispreview.co.uk/index.php/2025/11/ispa-reveal-winners-of-the-2025-uk-isp-internet-industry-awards.html,,0.0,,not_applicable,0,,0,,57,
ISPreview UK,2025-11-13,"Openreach Update – Project Gigabit Builds in Wales, Surrey, Hertfordshire and Wiltshire",https://www.ispreview.co.uk/index.php/2025/11/openreach-update-project-gigabit-builds-in-wales-surrey-hertfordshire-and-wiltshire-uk.html,,0.0,,not_applicable,0,,0,,46,
ISPreview UK,2025-11-13,London ISP Community Fibre Launch 100Mbps “Business Ready” Broadband,https://www.ispreview.co.uk/index.php/2025/11/london-isp-community-fibre-launch-100mbps-business-ready-broadband.html,,0.0,,not_applicable,0,,0,,51,
ISPreview UK,2025-11-13,BDUK Publish Q2 – Q3 2025 Project Gigabit Broadband Rollout Progress Report,https://www.ispreview.co.uk/index.php/2025/11/bduk-publish-q2-q3-2025-project-gigabit-broadband-rollout-progress-report.html,,0.0,,not_applicable,0,,0,,51,
ISPreview UK,2025-11-13,Business ISP FluidOne Appoints New CEO as Current Boss Steps Down,https://www.ispreview.co.uk/index.php/2025/11/business-isp-fluidone-appoints-new-ceo-as-current-boss-steps-down.html,,0.0,,not_applicable,0,,0,,44,
ISPreview UK,2025-11-13,City of London Corp Picks Roc Technologies to Deliver New Network,https://www.ispreview.co.uk/index.php/2025/11/city-of-london-corp-picks-roc-technologies-to-deliver-new-network.html,network_optimization_performance,0.7,network_optimization_performance,neutral,1,AI-driven wireless capability,0,,55,"The City of London Corporation has selected Roc Technologies to deliver a new end-to-end networking solution featuring AI-driven wireless capability and a UK-first enterprise SASE rollout for public services, leveraging Vorboss's 100Gbps full fibre network."
ISPreview UK,2025-11-13,Netomnia Rapidly Expands UK FTTP Broadband as Take-up and Revenues Rise,https://www.ispreview.co.uk/index.php/2025/11/netomnia-rapidly-expands-uk-fttp-broadband-as-take-up-and-revenues-rise.html,,0.0,,not_applicable,0,,0,,66,
ISPreview UK,2025-11-13,B4RN Secure Finance from Triodos Bank UK to Expand Rural 10Gbps Broadband,https://www.ispreview.co.uk/index.php/2025/11/b4rn-secure-finance-from-triodos-bank-uk-to-expand-rural-10gbps-broadband.html,,0.0,,not_applicable,0,,0,,58,
ISPreview UK,2025-11-12,Openreach Raises Prices on Copper Lines to Boost UK Fibre Broadband Adoption,https://www.ispreview.co.uk/index.php/2025/11/openreach-raises-prices-on-copper-lines-to-boost-uk-fibre-broadband-adoption.html,,0.0,,not_applicable,0,,0,,50,
ISPreview UK,2025-11-12,Survey Claims 41 Percent of UK People Hit by Broadband Outages,https://www.ispreview.co.uk/index.php/2025/11/survey-claims-41-percent-of-uk-people-hit-by-broadband-outages.html,,0.0,,not_applicable,0,,0,,52,
ISPreview UK,2025-11-12,Altnet Broadband ISP Toob Wins Two North East Contact Centre Awards,https://www.ispreview.co.uk/index.php/2025/11/altnet-broadband-isp-toob-wins-two-north-east-contact-centre-awards.html,,0.0,,not_applicable,0,,0,,48,
ISPreview UK,2025-11-12,UK ISP TalkTalk Business Follows Consumer Division by Refreshing its Brand,https://www.ispreview.co.uk/index.php/2025/11/uk-isp-talktalk-business-follows-consumer-division-by-refreshing-its-brand.html,,0.0,,not_applicable,0,,0,,43,
ISPreview UK,2025-11-12,Cellnex Delivers its First Consolidated 4G and 5G Mast Site for Vodafone and Three UK,https://www.ispreview.co.uk/index.php/2025/11/cellnex-delivers-first-consolidated-4g-and-5g-mast-site-for-vodafone-and-three-uk.html,,0.0,,not_applicable,0,,0,,53,
ISPreview UK,2025-11-12,ISP Octaplus Test New AI Support System with UK Broadband Customers,https://www.ispreview.co.uk/index.php/2025/11/isp-octaplus-test-new-ai-support-system-with-uk-broadband-customers.html,customer_support_experience,0.95,customer_support_experience,positive,9,"AI,Artificial Intelligence,Ask Octa AI,chatbot,virtual assistant,automation,natural language processing,NLP",1,AI,44,"Octaplus has begun an early‑stage rollout of its AI‑powered support system, Ask Octa AI, to a selected group of customers. The system employs a chatbot/virtual assistant that uses natural language processing to automate troubleshooting and support interactions, aiming to improve customer experience and reduce response times."
ISPreview UK,2025-11-12,ISP Quickline Improve UK Business Broadband Packages for Rural Areas,https://www.ispreview.co.uk/index.php/2025/11/isp-quickline-improve-uk-business-broadband-packages-for-rural-areas.html,,0.0,,not_applicable,0,,0,,48,
ISPreview UK,2025-11-12,Openreach Trial Trenchless Drilling Robot to Boost UK FTTP Broadband Build,https://www.ispreview.co.uk/index.php/2025/11/openreach-trial-trenchless-drilling-robot-to-boost-uk-fttp-broadband-build.html,,0.0,,not_applicable,0,,0,,52,
ISPreview UK,2025-11-12,New Cyber Security and Resilience Bill Introduced to UK Parliament,https://www.ispreview.co.uk/index.php/2025/11/new-cyber-security-and-resilience-bill-introduced-to-uk-parliament.html,,0.0,,not_applicable,0,,0,,53,
ISPreview UK,2025-11-11,Openreach Temporarily Withdraw Multiport ONT on UK FTTP Broadband Lines,https://www.ispreview.co.uk/index.php/2025/11/openreach-temporarily-withdraw-multiport-ont-on-uk-fttp-broadband-lines.html,,0.0,,not_applicable,0,,0,,57,
ISPreview UK,2025-11-11,SMARTY Mobile Launches New UK Everyone Unlimited Data Group Plan,https://www.ispreview.co.uk/index.php/2025/11/smarty-mobile-launches-new-uk-everyone-unlimited-data-group-plan.html,,0.0,,not_applicable,0,,0,,61,
ISPreview UK,2025-11-11,Repairs to Broken Subsea Broadband Cable for Tiree Island Set to Begin,https://www.ispreview.co.uk/index.php/2025/11/repairs-to-broken-subsea-broadband-cable-for-tiree-island-set-to-begin.html,,0.0,,not_applicable,0,,0,,56,
ISPreview UK,2025-11-11,Broadband ISP Virgin Media UK Adds Identity Protection to Security Add-on UPDATE,https://www.ispreview.co.uk/index.php/2025/11/broadband-isp-virgin-media-uk-adds-identity-protection-to-security-add-on.html,,0.0,,not_applicable,0,,0,,44,
ISPreview UK,2025-11-11,Virgin Media UK Add Extra FAST TV Channel to Service – Inside Outside,https://www.ispreview.co.uk/index.php/2025/11/virgin-media-uk-add-extra-fast-tv-channel-to-service-inside-outside.html,,0.0,,not_applicable,0,,0,,53,
ISPreview UK,2025-11-11,Ofcom Monitoring UK VPN Use Due to Circumvention of Online Safety Act,https://www.ispreview.co.uk/index.php/2025/11/ofcom-monitoring-uk-vpn-use-due-to-circumvention-of-online-safety-act.html,security_fraud_threat,0.7,security_fraud_threat,neutral,1,AI,0,,55,"Ofcom is reportedly using a third‑party monitoring tool with AI capabilities to track VPN usage, aiming to detect and curb circumvention of the Online Safety Act’s censorship provisions. The initiative focuses on monitoring network traffic for potential policy violations."
ISPreview UK,2025-11-11,VodafoneThree Tops 1.7 Million UK Broadband Users as Mobile Rises to 28.82m,https://www.ispreview.co.uk/index.php/2025/11/vodafonethree-tops-1-7-million-uk-broadband-users-as-mobile-rises-to-28-82m.html,,0.0,,not_applicable,0,,0,,49,
ISPreview UK,2025-11-10,Business IT and Cloud Provider labdesk Acquires UK ISP Cheshire Telecom,https://www.ispreview.co.uk/index.php/2025/11/business-it-and-cloud-provider-labdesk-acquires-uk-isp-cheshire-telecom.html,,0.0,,not_applicable,0,,0,,50,
ISPreview UK,2025-11-10,Business UK Broadband ISP Fibre1 Acquired by Kube Networks Limited,https://www.ispreview.co.uk/index.php/2025/11/business-uk-broadband-isp-fibre1-acquired-by-kube-networks-limited.html,,0.0,,not_applicable,0,,0,,41,
ISPreview UK,2025-11-10,Poverty Alliance Warn Vulnerable Users at Risk from UK 2G and 3G Mobile Switch Off UPDATE,https://www.ispreview.co.uk/index.php/2025/11/poverty-alliance-warn-vulnerable-users-at-risk-from-uk-2g-and-3g-mobile-switch-off.html,,0.0,,not_applicable,0,,0,,61,
ISPreview UK,2025-11-10,TalkTalk UK Broadband Group Appoints New Chief Financial Officer,https://www.ispreview.co.uk/index.php/2025/11/talktalk-uk-broadband-group-appoints-new-chief-financial-officer.html,,0.0,,not_applicable,0,,0,,68,
ISPreview UK,2025-11-10,INCA Calls for Clarity from Openreach on Which UK Homes Won’t Get Full Fibre,https://www.ispreview.co.uk/index.php/2025/11/inca-calls-for-clarity-from-openreach-on-which-uk-homes-wont-get-full-fibre.html,,0.0,,not_applicable,0,,0,,59,
ISPreview UK,2025-11-10,Gigaclear Call for Openreach Changes to Bring Gigabit Broadband to UK Rural Areas,https://www.ispreview.co.uk/index.php/2025/11/gigaclear-calls-for-openreach-changes-to-bring-gigabit-broadband-to-uk-rural-areas.html,,0.0,,not_applicable,0,,0,,58,
ISPreview UK,2025-11-09,Openreach Faces Protest in Lincoln Over Rollout of 40 Broadband Poles,https://www.ispreview.co.uk/index.php/2025/11/openreach-faces-protest-in-lincoln-over-rollout-of-40-broadband-poles.html,,0.0,,not_applicable,0,,0,,64,
